NAME,DP05_0001E,DP05_0018E,DP05_0019PE,DP05_0024PE,DP02_0038PE,DP02_0065PE,DP02_0072PE,DP03_0009PE,DP03_0062E,DP03_0099PE,DP04_0003PE,DP04_0047PE,DP04_0058PE,DP04_0134E,state,county
"Jennings County, Indiana",27610,39.6,23.1,16.7,31.5,9.7,19.1,5.0,66892,9.9,10.2,19.0,3.8,873,18,079
"Johnson County, Indiana",161952,37.9,24.3,15.3,27.8,20.4,10.9,3.4,82730,6.1,5.6,26.0,3.1,1155,18,081
"Knox County, Indiana",36148,38.9,21.3,18.1,36.0,11.6,17.4,3.2,58173,7.8,11.8,34.5,7.0,746,18,083
"Kosciusko County, Indiana",80442,39.0,23.6,17.4,30.2,15.4,13.6,3.3,70945,10.5,18.2,23.9,5.0,946,18,085
"LaGrange County, Indiana",40364,31.9,32.1,13.9,20.5,7.0,10.9,3.2,81658,45.1,15.1,17.0,27.3,817,18,087
"Lake County, Indiana",497682,39.3,23.3,17.1,50.5,16.2,13.3,6.7,66375,6.8,10.9,29.1,7.6,1039,18,089
"LaPorte County, Indiana",112215,40.5,21.3,18.5,48.1,14.2,14.3,5.0,66854,6.4,13.1,25.9,5.3,860,18,091
"Lawrence County, Indiana",45113,43.5,21.3,20.0,44.7,11.1,18.1,3.3,64210,7.1,8.1,20.7,5.9,776,18,093
"Madison County, Indiana",130545,40.7,21.5,18.5,54.0,12.9,19.7,5.5,60060,7.8,12.1,29.8,6.6,888,18,095
"Marion County, Indiana",971737,34.4,24.6,12.8,44.5,21.4,13.5,5.5,59504,9.5,10.1,44.5,8.2,1042,18,097
"Marshall County, Indiana",46208,39.9,24.7,18.1,23.0,13.0,12.5,3.0,66016,13.3,14.7,23.5,6.1,882,18,099
"Martin County, Indiana",9863,42.0,22.0,20.1,25.5,9.5,16.6,1.9,65489,7.5,13.7,21.2,3.7,603,18,101
"Miami County, Indiana",35952,41.1,21.0,17.7,27.6,10.8,15.7,4.5,59551,9.3,12.3,24.5,5.6,776,18,103
"Monroe County, Indiana",140065,30.8,15.8,13.8,29.6,24.1,11.1,5.8,60308,5.8,10.2,44.7,7.5,1105,18,105
"Montgomery County, Indiana",38018,40.4,22.9,18.3,52.5,13.1,15.8,4.0,62937,8.2,6.7,24.7,5.8,787,18,107
"Morgan County, Indiana",71757,41.5,22.2,17.3,49.4,13.6,14.9,4.0,79134,5.3,7.8,17.6,3.0,952,18,109
"Newton County, Indiana",13829,42.7,21.0,19.5,43.2,10.0,17.8,9.6,63673,6.0,9.4,17.5,3.1,811,18,111
"Noble County, Indiana",47431,39.4,24.2,16.4,49.6,12.3,13.9,3.4,70286,11.4,12.1,23.4,9.3,774,18,113
"Ohio County, Indiana",5974,47.2,20.3,22.3,0.0,11.1,17.2,1.8,66333,6.7,6.7,22.6,4.9,852,18,115
"Orange County, Indiana",19768,42.6,22.7,19.9,42.1,9.3,19.8,3.0,60775,7.7,12.4,22.2,6.0,767,18,117
"Owen County, Indiana",21361,44.9,20.3,20.5,15.8,10.7,19.8,5.2,57947,9.6,13.9,20.3,2.8,843,18,119
"Parke County, Indiana",16327,42.5,22.0,20.1,34.9,9.0,15.7,5.6,63393,15.0,24.7,18.3,8.2,780,18,121
"Perry County, Indiana",19186,41.1,21.1,18.7,38.5,11.3,14.9,5.1,58936,5.3,11.1,24.8,5.9,632,18,123
"Pike County, Indiana",12227,43.9,21.4,20.9,16.4,9.3,14.7,3.6,64182,3.7,10.0,14.4,3.5,648,18,125
"Porter County, Indiana",173355,40.1,21.6,17.2,19.0,18.6,11.4,4.2,82915,5.3,5.1,23.0,3.7,1092,18,127
"Posey County, Indiana",25226,43.0,21.9,19.8,20.9,16.9,12.1,2.8,75594,3.8,8.0,19.3,4.1,735,18,129
"Pulaski County, Indiana",12498,41.9,21.6,20.7,19.3,8.8,17.6,3.8,56823,7.7,17.9,23.3,7.0,702,18,131
"Putnam County, Indiana",36942,38.4,19.7,17.0,46.4,12.9,14.4,2.8,70609,4.6,7.9,26.1,3.9,866,18,133
"Randolph County, Indiana",24586,42.8,23.0,20.3,32.7,9.4,20.6,5.6,59674,7.6,10.6,23.7,5.5,758,18,135
"Ripley County, Indiana",28990,40.8,23.5,18.4,15.6,10.7,13.7,3.3,70285,7.5,9.6,22.8,4.8,750,18,137
"Rush County, Indiana",16716,42.5,22.3,18.6,13.0,10.4,16.8,6.3,62386,7.6,8.7,28.8,4.2,802,18,139
"St. Joseph County, Indiana",272388,36.7,23.2,16.3,38.8,19.2,13.4,4.8,61877,7.4,9.0,31.9,6.8,969,18,141
"Scott County, Indiana",24403,41.3,22.2,17.1,49.5,7.8,22.8,4.8,49343,5.4,9.7,30.0,4.4,813,18,143
"Shelby County, Indiana",44940,40.5,22.5,17.6,25.0,13.4,14.8,3.3,66449,5.9,7.3,27.4,5.4,910,18,145
"Spencer County, Indiana",19935,44.3,21.7,20.1,41.6,12.4,13.4,3.3,66168,3.7,9.1,19.9,3.8,715,18,147
"Starke County, Indiana",23308,41.7,22.9,18.8,27.1,8.6,18.5,4.0,59916,6.2,22.5,16.1,5.4,656,18,149
"Steuben County, Indiana",34507,43.5,19.9,21.0,38.0,15.9,14.0,7.1,68837,5.8,27.3,20.1,5.1,896,18,151
"Sullivan County, Indiana",20791,40.9,19.9,18.2,56.2,9.4,17.6,5.0,54556,8.9,12.3,24.1,4.7,797,18,153
"Switzerland County, Indiana",9896,40.8,24.2,18.0,19.6,8.3,20.9,4.4,66525,13.1,13.9,20.6,6.9,697,18,155
"Tippecanoe County, Indiana",186955,28.4,20.2,11.8,41.9,22.2,9.4,3.6,55728,6.1,6.1,47.1,8.6,1020,18,157
"Tipton County, Indiana",15328,44.4,20.7,21.4,7.5,17.2,13.6,3.8,71947,8.5,9.5,19.2,1.2,842,18,159
"Union County, Indiana",7041,44.5,20.6,20.2,95.1,14.3,14.4,5.1,68514,7.2,10.0,20.8,4.1,809,18,161
"Vanderburgh County, Indiana",179900,38.9,21.5,17.6,30.1,17.9,15.4,4.7,58839,7.6,9.0,35.2,8.0,930,18,163
"Vermillion County, Indiana",15488,42.4,21.8,19.9,22.8,12.6,18.6,7.5,59567,4.8,10.9,23.0,4.0,783,18,165
"Vigo County, Indiana",106355,36.4,20.4,16.8,41.5,15.1,16.6,6.1,52789,7.9,8.9,36.9,7.1,853,18,167
"Wabash County, Indiana",31032,42.8,20.9,21.2,52.0,13.6,15.2,3.5,66194,6.9,11.3,20.6,4.4,731,18,169
"Warren County, Indiana",8454,43.7,21.8,20.8,67.1,13.6,18.0,3.1,72833,5.2,9.8,19.4,2.9,841,18,171
"Warrick County, Indiana",64065,41.7,23.4,18.2,7.9,20.7,12.1,3.3,91105,3.4,6.6,17.8,1.9,964,18,173
"Washington County, Indiana",28133,40.9,22.7,17.8,33.3,10.4,16.5,4.2,60695,8.8,10.4,18.8,6.1,714,18,175
"Wayne County, Indiana",66522,40.9,22.4,19.1,47.7,11.7,18.0,4.5,54854,10.3,11.8,31.6,8.1,793,18,177
"Wells County, Indiana",28167,40.6,24.5,18.2,23.0,13.6,12.5,2.4,68074,6.2,6.7,22.7,3.2,803,18,179
"White County, Indiana",24630,42.6,23.2,20.3,19.8,12.5,14.7,4.4,65345,8.2,23.6,21.5,2.5,819,18,181
"Whitley County, Indiana",34259,41.6,23.1,18.2,33.8,16.7,13.7,4.0,73636,8.0,7.0,18.8,3.7,902,18,183
"Adair County, Iowa",7479,43.0,22.1,22.2,32.5,14.3,14.6,3.9,63172,4.9,10.6,29.3,4.5,723,19,001
"Adams County, Iowa",3680,46.3,21.1,23.0,28.9,16.7,14.7,4.2,64750,4.9,19.5,19.1,4.4,787,19,003
"Allamakee County, Iowa",14046,43.1,23.6,22.7,41.5,13.6,11.7,3.2,64049,6.4,22.4,20.0,4.0,721,19,005
"Appanoose County, Iowa",12279,45.0,21.9,23.5,21.2,14.0,17.7,6.1,50684,8.0,20.5,30.7,6.5,757,19,007
"Audubon County, Iowa",5651,48.2,22.1,24.7,20.5,16.0,13.6,0.7,54973,4.1,9.6,21.9,7.1,735,19,009
"Benton County, Iowa",25652,43.0,23.1,18.8,15.3,16.1,11.7,2.3,79444,2.7,8.7,16.2,3.2,766,19,011
"Black Hawk County, Iowa",131041,35.5,21.7,17.1,39.7,19.5,13.8,5.2,62329,4.2,8.4,34.7,7.3,932,19,013
"Boone County, Iowa",26700,42.0,20.9,19.2,12.0,19.2,11.9,1.3,75759,4.5,8.8,20.4,5.3,852,19,015
"Bremer County, Iowa",25012,38.9,22.5,19.4,9.9,23.2,11.1,3.2,84727,2.1,7.7,16.4,2.0,783,19,017
"Buchanan County, Iowa",20631,39.5,25.7,18.1,32.1,14.9,12.5,3.0,73493,6.4,10.0,19.4,6.2,788,19,019
"Buena Vista County, Iowa",20687,35.6,26.3,16.3,14.4,14.5,9.4,5.0,62662,6.0,8.0,30.0,4.3,781,19,021
"Butler County, Iowa",14376,43.6,22.5,22.7,26.8,15.2,11.1,3.9,65743,3.8,10.8,19.7,3.4,749,19,023
"Calhoun County, Iowa",9893,42.4,21.8,23.0,11.6,15.2,14.2,2.7,65614,3.7,19.6,21.3,3.1,696,19,025
"Carroll County, Iowa",20728,42.4,23.9,20.8,37.6,16.4,11.9,1.9,68041,3.2,8.6,23.9,6.5,697,19,027
"Cass County, Iowa",13116,44.8,22.1,23.1,23.5,15.2,14.9,1.4,60815,4.2,9.9,27.1,6.3,699,19,029
"Cedar County, Iowa",18479,43.3,21.5,20.0,15.1,15.2,11.4,3.0,76959,3.4,8.6,19.4,3.3,830,19,031
"Cerro Gordo County, Iowa",42979,44.3,20.8,22.4,29.9,16.4,13.9,3.0,63149,4.1,14.1,28.4,5.8,812,19,033
"Cherokee County, Iowa",11601,44.8,21.9,24.2,51.0,14.3,11.2,3.2,63638,5.4,7.4,25.9,7.6,655,19,035
"Chickasaw County, Iowa",11957,44.0,23.4,21.8,12.6,14.0,14.9,2.1,72734,7.4,11.2,18.3,3.3,745,19,037
"Clarke County, Iowa",9737,39.3,25.6,19.7,35.1,9.7,15.9,3.9,63120,6.4,10.2,27.6,9.7,701,19,039
"Clay County, Iowa",16423,41.5,23.1,21.6,46.4,18.3,15.4,4.1,61756,4.6,10.8,27.3,4.0,752,19,041
"Clayton County, Iowa",17123,46.9,21.3,24.1,30.4,12.8,15.3,2.6,60441,7.1,17.0,24.7,7.5,738,19,043
"Clinton County, Iowa",46488,42.5,22.5,19.8,38.9,15.0,14.0,4.4,61080,4.9,11.1,26.7,6.6,795,19,045
"Crawford County, Iowa",16450,37.3,25.3,17.7,14.0,12.6,15.3,4.1,61188,8.9,9.4,26.3,4.7,732,19,047
"Dallas County, Iowa",100367,35.6,26.9,12.2,14.0,34.8,7.5,3.0,99533,4.4,5.7,29.6,3.0,1198,19,049
"Davis County, Iowa",9093,36.3,29.5,17.8,17.4,13.7,10.6,2.0,77176,28.9,11.6,15.1,16.6,835,19,051
"Decatur County, Iowa",7684,36.6,21.9,20.7,26.3,14.4,14.9,4.2,56068,7.7,16.5,32.8,8.3,621,19,053
"Delaware County, Iowa",17523,43.5,23.8,20.3,9.4,13.6,12.3,2.2,75896,4.2,12.8,17.4,5.2,732,19,055
"Des Moines County, Iowa",38824,42.1,22.5,20.7,38.9,15.3,16.7,2.9,58084,3.5,8.2,30.1,8.6,882,19,057
"Dickinson County, Iowa",17692,47.9,19.0,27.0,25.4,24.6,14.9,2.1,72446,4.4,40.2,21.6,3.9,902,19,059
"Dubuque County, Iowa",98812,38.7,22.5,18.4,30.8,21.3,11.0,4.1,73495,3.4,6.4,26.7,5.8,912,19,061
"Emmet County, Iowa",9349,44.8,19.1,23.1,62.8,11.0,18.8,2.1,64461,5.5,14.0,22.4,3.8,724,19,063
"Fayette County, Iowa",19519,43.4,21.2,21.8,25.5,12.4,16.3,3.7,56043,5.4,11.7,23.8,4.7,780,19,065
"Floyd County, Iowa",15601,44.0,22.7,22.6,21.5,13.1,15.2,3.3,62356,4.7,10.0,23.6,7.2,627,19,067
"Franklin County, Iowa",10015,42.8,23.4,21.3,17.6,15.2,9.3,3.8,62214,10.4,12.1,27.4,3.9,707,19,069
"Fremont County, Iowa",6639,46.2,22.1,22.6,51.7,16.1,14.4,1.7,69375,3.8,13.0,21.9,2.6,709,19,071
"Greene County, Iowa",8801,44.6,22.2,23.4,8.5,14.4,17.3,3.6,56884,3.2,11.3,24.6,4.7,828,19,073
"Grundy County, Iowa",12351,41.6,23.5,20.6,23.9,19.6,9.4,2.5,80701,3.0,7.2,16.7,2.7,742,19,075
"Guthrie County, Iowa",10619,45.9,21.8,22.8,7.1,15.4,11.4,3.3,75795,3.2,21.9,16.3,3.3,788,19,077
"Hamilton County, Iowa",14979,41.9,22.2,21.3,24.4,17.7,13.9,4.0,66685,4.2,11.9,28.6,5.5,830,19,079
"Hancock County, Iowa",10790,44.4,21.3,23.3,4.0,16.4,14.8,2.1,67865,3.9,10.6,18.6,4.1,782,19,081
"Hardin County, Iowa",16861,45.3,19.1,22.8,19.2,15.0,13.7,3.5,64656,4.4,12.5,25.8,5.2,752,19,083
"Harrison County, Iowa",14623,42.0,22.9,19.6,33.3,15.0,12.1,2.7,75830,4.8,10.8,24.3,4.3,819,19,085
"Henry County, Iowa",20436,40.4,20.9,19.0,36.2,15.9,14.1,2.7,62365,3.4,9.2,25.4,4.4,727,19,087
"Howard County, Iowa",9479,39.5,25.5,20.4,53.3,15.4,10.4,1.5,63947,9.8,15.6,23.8,6.7,708,19,089
"Humboldt County, Iowa",9606,41.9,23.6,21.2,57.6,14.5,15.0,2.5,66617,5.1,7.8,25.8,5.3,662,19,091
"Ida County, Iowa",6969,42.8,24.0,22.0,30.9,15.3,12.2,2.0,63125,5.0,10.4,22.1,4.3,646,19,093
"Iowa County, Iowa",16575,42.2,23.4,19.1,29.6,16.2,13.5,3.2,69787,2.9,7.4,22.3,2.9,732,19,095
"Jackson County, Iowa",19470,44.4,22.0,21.3,28.4,13.2,12.1,4.2,69709,4.8,12.4,20.3,5.9,726,19,097
"Jasper County, Iowa",37808,41.0,22.0,19.1,22.6,13.8,13.2,4.8,67784,3.4,9.6,23.7,4.1,812,19,099
"Jefferson County, Iowa",15785,44.2,16.4,25.3,59.7,22.6,14.2,5.2,52210,6.8,11.2,34.6,8.3,838,19,101
"Johnson County, Iowa",153360,30.6,19.4,12.6,14.6,29.5,9.0,3.8,72977,5.2,7.2,40.9,7.6,1086,19,103
"Jones County, Iowa",20733,43.4,20.7,21.1,30.4,15.5,13.1,3.1,68781,2.9,9.3,19.4,4.2,693,19,105
"Keokuk County, Iowa",10026,42.7,22.8,21.9,9.8,11.7,17.4,3.6,60016,2.8,12.5,21.5,2.2,744,19,107
"Kossuth County, Iowa",14718,45.1,21.7,24.7,32.3,14.5,16.3,3.8,62553,4.3,11.2,26.2,7.5,818,19,109
"Lee County, Iowa",33442,43.5,21.2,21.2,62.6,14.6,16.2,4.6,58094,4.2,10.2,24.3,5.1,782,19,111
"Linn County, Iowa",229308,38.2,22.8,16.6,32.5,23.7,10.7,3.8,75457,3.8,6.8,25.9,5.1,878,19,113
"Louisa County, Iowa",10823,42.2,22.2,19.5,10.1,11.4,14.2,4.4,72500,5.1,13.3,22.1,4.5,747,19,115
"Lucas County, Iowa",8666,42.9,22.6,21.5,1.3,10.7,17.4,3.9,63405,8.4,11.3,20.2,7.7,773,19,117
"Lyon County, Iowa",12023,38.3,28.1,19.0,4.6,15.2,12.6,2.4,73735,4.8,9.1,16.1,3.9,776,19,119
"Madison County, Iowa",16609,40.9,24.7,18.1,25.1,19.3,9.3,2.3,88110,3.5,6.9,17.6,4.2,932,19,121
"Mahaska County, Iowa",22059,39.6,23.8,19.0,27.7,16.7,13.6,3.3,65200,4.5,8.5,32.3,4.7,773,19,123
"Marion County, Iowa",33487,39.8,23.3,18.7,24.7,21.4,13.5,2.3,74193,3.4,6.1,22.9,3.7,845,19,125
"Marshall County, Iowa",40049,38.5,25.4,17.7,22.6,14.9,11.5,5.6,70828,5.3,9.0,26.5,7.1,832,19,127
"Mills County, Iowa",14605,42.7,23.9,19.6,22.6,21.0,13.6,4.4,81907,3.1,14.0,18.7,5.5,843,19,129
"Mitchell County, Iowa",10537,41.8,23.6,21.3,25.4,15.7,11.4,0.9,66056,7.3,7.8,20.4,5.1,720,19,131
"Monona County, Iowa",8671,45.9,22.0,24.1,24.6,11.2,15.0,2.6,59897,4.1,12.5,21.8,2.5,761,19,133
"Monroe County, Iowa",7574,41.5,23.8,19.5,23.3,18.5,14.5,3.4,76324,3.7,17.2,17.5,6.1,723,19,135
"Montgomery County, Iowa",10285,43.3,22.5,21.8,64.2,13.5,16.0,4.5,61261,2.4,10.7,29.1,4.5,718,19,137
"Muscatine County, Iowa",42968,38.6,24.4,17.1,41.7,16.4,13.0,3.5,67427,3.8,7.1,24.6,5.2,936,19,139
"O'Brien County, Iowa",14138,40.4,23.8,21.5,7.9,17.0,15.4,2.4,65076,3.2,12.9,24.0,7.9,691,19,141
"Osceola County, Iowa",6149,44.0,22.7,21.9,4.3,9.9,11.2,4.5,67561,5.9,8.8,24.1,3.0,801,19,143
"Page County, Iowa",15225,45.2,18.8,23.5,31.8,12.2,15.7,6.6,58264,5.3,12.3,29.9,6.3,742,19,145
"Palo Alto County, Iowa",8938,41.3,23.8,22.0,3.5,14.6,14.3,3.6,67306,4.2,19.4,23.9,3.8,631,19,147
"Plymouth County, Iowa",25621,40.9,24.8,18.9,28.9,17.9,12.1,2.1,79963,5.4,5.6,24.7,3.9,816,19,149
"Pocahontas County, Iowa",7061,45.4,22.2,23.3,24.7,13.0,14.8,6.3,61434,6.0,15.8,21.6,4.0,735,19,151
"Polk County, Iowa",493378,36.1,24.5,13.5,22.5,26.5,11.1,4.5,78827,4.8,5.9,32.9,5.7,1060,19,153
"Pottawattamie County, Iowa",93543,39.7,23.2,18.0,46.7,16.1,15.2,3.6,68718,5.2,6.9,30.4,6.4,956,19,155
"Poweshiek County, Iowa",18608,40.7,19.9,20.7,34.5,16.3,12.6,4.6,61192,3.5,13.2,29.5,8.6,850,19,157
"Ringgold County, Iowa",4690,43.8,23.9,23.0,16.7,15.8,15.1,1.7,67898,7.0,31.0,22.2,5.6,699,19,159
"Sac County, Iowa",9778,45.2,22.2,23.7,27.5,16.1,11.0,3.2,68778,5.2,18.1,19.2,4.2,622,19,161
"Scott County, Iowa",174315,38.7,23.4,16.7,34.2,22.3,11.8,4.0,72792,5.6,8.0,30.9,6.5,919,19,163
"Shelby County, Iowa",11737,45.5,21.9,23.0,39.7,16.3,10.1,2.5,70295,4.4,9.0,24.0,2.7,879,19,165
"Sioux County, Iowa",35815,34.4,26.9,16.1,13.9,22.3,9.5,2.3,81914,5.0,4.5,20.8,3.8,795,19,167
"Story County, Iowa",98573,26.5,16.0,12.6,15.6,30.1,8.8,5.6,66197,5.1,7.1,44.3,6.6,991,19,169
"Tama County, Iowa",17017,41.0,24.1,19.8,27.1,12.8,9.8,4.5,65483,7.3,11.7,24.5,3.1,829,19,171
"Taylor County, Iowa",5916,44.1,22.5,22.5,14.3,11.8,12.8,3.2,65926,6.7,16.0,21.2,4.2,636,19,173
"Union County, Iowa",12107,40.0,23.1,20.5,9.7,17.3,15.4,5.7,56495,6.6,14.0,25.5,6.3,712,19,175
"Van Buren County, Iowa",7207,45.0,22.8,23.6,8.0,12.6,17.8,4.9,58417,14.4,19.0,16.6,7.6,661,19,177
"Wapello County, Iowa",35292,39.4,23.4,17.8,44.4,11.6,15.5,4.4,56209,6.8,9.9,33.7,7.4,909,19,179
"Warren County, Iowa",52709,38.5,24.4,16.4,23.1,22.3,10.5,3.2,89741,2.4,5.6,18.3,2.4,943,19,181
"Washington County, Iowa",22534,40.1,24.6,19.6,19.1,16.2,12.8,2.6,71122,6.7,7.1,28.4,4.6,849,19,183
"Wayne County, Iowa",6484,41.9,26.0,21.7,20.2,11.2,14.0,1.6,58257,11.4,16.5,20.2,7.5,627,19,185
"Webster County, Iowa",36986,39.8,20.9,19.6,45.4,15.4,14.2,3.2,65335,6.1,8.2,30.3,6.8,747,19,187
"Winnebago County, Iowa",10704,41.5,21.7,21.3,45.2,19.6,11.7,2.5,62853,3.4,11.4,24.6,4.6,669,19,189
"Winneshiek County, Iowa",20050,42.6,18.6,22.3,11.0,19.6,11.6,2.1,67770,2.5,8.3,23.6,4.4,763,19,191
"Woodbury County, Iowa",105526,35.9,25.6,15.4,40.4,15.8,13.4,4.5,68399,6.5,6.0,31.8,6.2,913,19,193
"Worth County, Iowa",7417,43.9,20.7,21.6,20.9,13.7,14.8,3.3,69897,5.9,8.5,22.7,4.8,685,19,195
"Wright County, Iowa",12897,41.5,24.7,22.4,28.6,16.7,12.7,2.2,58240,4.5,14.5,25.9,8.0,731,19,197
"Allen County, Kansas",12554,41.1,22.3,20.5,35.1,12.3,17.4,7.3,55059,9.2,17.9,27.2,7.6,703,20,001
"Anderson County, Kansas",7799,39.7,24.9,20.8,72.2,9.0,16.9,3.3,67651,13.7,11.3,21.7,6.2,778,20,003
"Atchison County, Kansas",16309,36.1,22.5,17.0,24.5,13.3,14.2,4.5,55281,8.2,14.3,29.8,7.0,771,20,005
"Barber County, Kansas",4081,42.8,23.6,22.8,3.4,17.9,19.7,2.4,53774,10.1,29.0,19.3,6.0,695,20,007
"Barton County, Kansas",25477,39.2,24.0,20.7,24.6,15.3,17.3,4.1,54634,11.1,18.9,32.6,5.8,738,20,009
"Bourbon County, Kansas",14405,38.1,25.9,19.3,42.5,15.6,17.8,3.8,55826,8.9,13.3,29.0,3.7,774,20,011
"Brown County, Kansas",9486,41.8,25.7,20.8,51.9,15.0,15.3,4.4,55876,10.2,18.7,27.4,4.7,662,20,013
"Butler County, Kansas",67618,38.2,25.0,15.6,18.9,20.8,14.1,3.1,77724,6.8,8.4,21.8,3.6,963,20,015
"Chase County, Kansas",2570,44.1,21.4,23.2,70.6,20.6,13.2,1.2,52481,10.3,24.3,27.4,4.6,602,20,017
"Chautauqua County, Kansas",3389,45.9,23.0,24.3,27.3,11.5,22.1,5.6,51210,13.4,33.3,18.7,3.4,740,20,019
"Cherokee County, Kansas",19380,42.4,23.1,19.5,19.3,13.0,20.9,2.3,53382,10.3,17.8,28.5,7.4,743,20,021
"Cheyenne County, Kansas",2619,43.0,21.3,25.8,-666666666.0,17.4,16.0,1.8,52730,14.4,16.9,20.9,2.7,673,20,023
"Clark County, Kansas",1977,46.3,25.4,23.3,0.0,21.2,17.6,1.0,58287,6.4,22.7,26.3,4.1,798,20,025
"Clay County, Kansas",8088,43.1,23.5,24.3,50.4,17.7,18.7,1.4,57765,5.5,9.3,28.6,7.4,750,20,027
"Cloud County, Kansas",9008,38.8,23.3,20.9,37.0,14.4,13.2,4.7,51197,11.5,18.7,29.3,6.3,713,20,029
"Coffey County, Kansas",8334,43.9,21.9,21.7,14.6,15.4,17.3,5.3,67645,9.0,10.9,24.5,4.9,813,20,031
"Comanche County, Kansas",1825,46.8,22.6,26.7,0.0,17.0,18.4,3.8,49754,8.8,20.1,26.4,3.9,635,20,033
"Cowley County, Kansas",34661,38.1,23.5,18.5,48.3,15.8,18.8,5.3,55726,9.3,16.2,29.2,6.2,776,20,035
"Crawford County, Kansas",39012,32.9,22.1,15.5,37.7,19.6,16.0,3.9,49779,11.0,12.3,41.3,8.8,821,20,037
"Decatur County, Kansas",2771,50.6,20.8,28.2,42.9,21.1,18.0,4.9,49412,7.5,19.6,19.5,2.9,700,20,039
"Dickinson County, Kansas",18492,41.8,22.8,20.6,11.0,16.8,16.3,3.0,62971,10.5,10.0,24.8,5.9,755,20,041
"Doniphan County, Kansas",7501,41.9,19.5,19.5,21.4,11.0,12.2,1.6,66358,7.5,19.2,19.9,4.8,733,20,043
"Douglas County, Kansas",119094,30.7,17.8,13.2,16.7,29.0,11.5,4.8,66153,7.4,6.1,49.6,6.5,1041,20,045
"Edwards County, Kansas",2849,43.8,22.6,21.9,17.4,13.5,15.8,3.9,52750,9.8,20.9,21.4,4.8,715,20,047
"Elk County, Kansas",2453,50.4,22.7,27.5,23.1,12.6,24.1,3.8,50000,9.5,32.0,22.3,5.2,554,20,049
"Ellis County, Kansas",28921,32.9,20.5,15.1,27.7,24.0,12.7,3.3,59665,6.3,9.5,38.7,3.8,864,20,051
"Ellsworth County, Kansas",6374,43.1,18.1,22.8,11.4,14.0,17.0,3.5,59844,5.3,25.7,18.6,4.0,675,20,053
"Finney County, Kansas",38187,31.9,29.9,11.3,31.2,12.3,13.0,5.4,68481,13.6,8.1,34.9,6.3,964,20,055
"Ford County, Kansas",34212,32.6,29.7,11.4,17.5,12.6,11.1,3.2,67997,12.5,7.1,35.7,4.8,948,20,057
"Franklin County, Kansas",25968,40.2,23.4,17.3,34.7,14.7,16.5,2.6,68217,6.9,8.9,26.6,4.0,882,20,059
"Geary County, Kansas",36247,26.6,31.1,8.5,13.5,14.5,13.4,4.5,57992,7.7,15.0,57.0,4.1,1132,20,061
"Gove County, Kansas",2758,42.1,26.2,23.8,9.3,15.2,15.0,3.3,59417,11.0,11.5,21.8,1.4,726,20,063
"Graham County, Kansas",2430,47.2,20.6,26.3,36.4,18.1,15.3,6.1,47071,7.6,16.2,18.6,4.2,696,20,065
"Grant County, Kansas",7336,32.9,31.1,12.8,30.0,13.1,6.5,3.6,84808,14.5,17.5,23.7,1.8,676,20,067
"Gray County, Kansas",5719,36.1,29.1,15.1,10.8,17.8,7.9,2.1,74500,11.0,12.0,19.6,1.5,802,20,069
"Greeley County, Kansas",1279,40.6,29.1,18.1,0.0,17.5,11.5,0.1,69948,9.6,12.6,25.5,4.9,749,20,071
"Greenwood County, Kansas",6001,48.4,21.5,25.7,67.9,10.4,19.4,2.6,51812,9.9,29.6,20.4,6.9,663,20,073
"Hamilton County, Kansas",2520,35.4,30.3,14.3,93.8,14.9,10.2,0.0,58750,22.7,26.0,22.5,1.8,900,20,075
"Harper County, Kansas",5457,41.5,25.1,21.9,41.7,11.4,19.0,5.3,53032,8.8,28.2,26.4,2.2,654,20,077
"Harvey County, Kansas",33959,40.5,23.9,20.5,17.6,20.8,14.2,4.2,70685,8.5,9.2,28.6,4.3,857,20,079
"Haskell County, Kansas",3735,38.0,26.8,15.3,8.8,9.7,8.8,3.5,66458,17.4,12.7,23.9,3.5,713,20,081
"Hodgeman County, Kansas",1770,46.0,23.2,22.8,0.0,23.3,17.1,2.1,63125,9.5,16.6,18.7,0.7,854,20,083
"Jackson County, Kansas",13274,40.7,24.3,19.5,12.3,13.3,16.6,2.1,70385,8.3,7.7,22.8,3.7,821,20,085
"Jefferson County, Kansas",18387,43.2,22.4,19.0,37.8,15.3,14.0,3.5,74562,5.6,8.2,15.0,4.5,832,20,087
"Jewell County, Kansas",2929,51.1,20.4,30.2,20.3,12.7,16.9,1.5,47109,5.7,28.0,19.8,3.4,570,20,089
"Johnson County, Kansas",610742,38.1,23.8,15.2,15.4,34.3,8.9,3.2,103644,5.5,4.3,31.1,3.3,1312,20,091
"Kearny County, Kansas",3964,34.9,30.0,16.0,31.4,10.4,13.2,2.2,68750,13.7,14.5,31.5,2.7,996,20,093
"Kingman County, Kansas",7369,43.6,21.8,19.9,3.3,17.7,16.4,4.7,59640,9.5,15.4,28.1,4.2,832,20,095
"Kiowa County, Kansas",2445,41.5,22.8,22.7,0.0,20.0,16.1,3.6,70347,11.6,19.9,24.6,2.8,706,20,097
"Labette County, Kansas",20096,40.6,24.2,19.6,16.6,14.5,20.7,2.4,56143,9.8,16.6,24.7,5.0,723,20,099
"Lane County, Kansas",1528,47.9,20.4,22.2,11.1,10.0,16.3,0.4,52222,15.8,24.2,22.3,2.8,575,20,101
