NAME,DP05_0001E,DP05_0018E,DP05_0019PE,DP05_0024PE,DP02_0038PE,DP02_0065PE,DP02_0072PE,DP03_0009PE,DP03_0062E,DP03_0099PE,DP04_0003PE,DP04_0047PE,DP04_0058PE,DP04_0134E,state,county
"Marengo County, Alabama",19180,41.7,22.7,19.9,28.4,12.7,22.6,2.8,42975,9.3,25.0,31.7,8.6,702,01,091
"Marion County, Alabama",29203,44.0,21.1,20.9,17.2,7.1,25.7,6.5,49743,11.0,22.1,27.1,5.0,581,01,093
"Marshall County, Alabama",97923,38.8,25.2,17.2,35.7,14.5,14.1,3.8,58272,11.1,13.1,24.6,4.8,746,01,095
"Mobile County, Alabama",413878,38.2,23.2,16.7,48.7,15.7,13.8,5.9,55352,11.3,13.7,36.5,6.7,973,01,097
"Monroe County, Alabama",19816,43.7,21.1,21.0,79.1,7.8,16.4,12.2,39965,11.0,28.5,27.6,6.3,692,01,099
"Montgomery County, Alabama",228132,36.9,23.6,15.6,56.2,19.5,16.4,6.8,56707,10.6,14.9,42.8,6.9,1028,01,101
"Morgan County, Alabama",123102,40.6,22.9,17.9,31.4,15.9,16.7,4.2,61588,11.0,10.0,27.3,5.1,791,01,103
"Perry County, Alabama",8479,41.8,21.1,20.5,0.0,10.1,25.2,15.7,32332,6.6,22.8,29.9,10.4,560,01,105
"Pickens County, Alabama",18925,42.9,19.3,19.4,64.7,9.0,24.1,5.3,45339,8.5,18.7,25.8,7.8,578,01,107
"Pike County, Alabama",32997,31.1,18.9,15.3,55.5,15.7,15.1,4.9,42616,8.9,25.3,37.0,6.7,750,01,109
"Randolph County, Alabama",22179,44.1,20.9,20.9,42.6,12.1,19.0,3.2,49879,8.4,29.7,20.8,5.3,704,01,111
"Russell County, Alabama",58849,37.2,24.1,14.9,52.2,10.3,21.0,6.5,47420,11.7,14.3,38.8,8.8,908,01,113
"St. Clair County, Alabama",91719,41.0,22.3,17.4,36.5,13.3,16.3,4.3,73218,8.2,11.3,18.3,3.3,1044,01,115
"Shelby County, Alabama",223916,40.0,22.8,16.2,19.2,29.8,12.0,3.1,90618,6.4,6.5,19.1,2.6,1272,01,117
"Sumter County, Alabama",12196,35.8,18.9,18.6,50.8,12.3,20.3,8.2,31726,9.7,24.2,30.7,7.7,770,01,119
"Talladega County, Alabama",81105,42.1,20.7,18.6,51.5,9.8,21.5,8.4,52457,9.4,15.0,28.1,7.7,750,01,121
"Tallapoosa County, Alabama",41251,45.2,20.4,22.3,55.6,11.4,20.8,10.4,53282,9.5,27.8,24.5,6.9,701,01,123
"Tuscaloosa County, Alabama",231558,32.8,20.4,13.6,42.7,18.2,12.5,5.5,61645,6.7,16.4,37.7,5.7,974,01,125
"Walker County, Alabama",64978,41.8,22.2,19.6,39.2,9.4,24.3,5.7,52987,12.1,18.0,22.5,4.7,698,01,127
"Washington County, Alabama",15434,43.7,20.6,19.8,15.0,6.7,15.6,6.3,51184,9.2,29.2,11.6,4.1,698,01,129
"Wilcox County, Alabama",10441,41.1,23.0,20.8,27.1,7.8,21.2,10.7,38208,9.4,32.6,20.5,13.6,787,01,131
"Winston County, Alabama",23655,45.4,20.2,21.7,36.1,8.1,22.5,4.4,49494,11.3,30.5,21.8,5.3,680,01,133
"Aleutians East Borough, Alaska",3407,41.6,12.2,11.6,25.0,12.7,10.4,4.4,79961,39.7,17.4,41.2,25.0,1035,02,013
"Aleutians West Census Area, Alaska",5219,39.2,17.0,6.3,23.1,13.2,7.5,3.0,100662,17.2,30.9,72.3,9.9,1672,02,016
"Anchorage Municipality, Alaska",290674,34.5,23.9,12.0,33.1,23.0,11.2,5.2,95731,10.5,9.9,36.2,5.7,1405,02,020
"Bethel Census Area, Alaska",18538,28.7,34.8,7.7,59.1,5.3,11.5,16.2,64094,14.0,24.0,41.0,61.9,1408,02,050
"Bristol Bay Borough, Alaska",854,36.4,19.1,12.6,0.0,21.9,14.9,2.7,94167,19.1,67.5,49.3,10.2,1183,02,060
"Chugach Census Area, Alaska",7000,37.8,21.7,13.2,2.1,20.3,15.9,8.8,83068,14.7,26.7,37.4,5.7,1364,02,063
"Copper River Census Area, Alaska",2614,43.1,26.5,17.2,20.7,19.0,19.0,6.5,70606,19.6,57.5,31.2,7.0,877,02,066
"Denali Borough, Alaska",2101,44.4,12.9,14.1,100.0,13.7,11.5,1.9,87292,3.0,62.1,13.1,3.2,863,02,068
"Dillingham Census Area, Alaska",4854,30.7,30.2,11.7,60.2,11.3,11.3,11.3,69412,18.1,42.7,39.2,36.2,1106,02,070
"Fairbanks North Star Borough, Alaska",96299,32.1,23.8,11.8,11.3,19.6,12.6,5.5,81655,8.6,16.2,40.0,4.8,1360,02,090
"Haines Borough, Alaska",2079,46.2,30.2,21.6,0.0,16.8,15.1,4.3,68276,9.1,44.3,30.3,9.0,889,02,100
"Hoonah-Angoon Census Area, Alaska",2329,50.0,13.3,24.0,44.4,20.4,19.9,14.0,62344,19.5,49.2,25.5,33.1,996,02,105
"Juneau City and Borough, Alaska",32108,39.0,20.6,14.8,16.3,25.8,11.5,4.5,95711,6.9,7.5,35.7,9.6,1464,02,110
"Kenai Peninsula Borough, Alaska",59235,41.2,22.1,18.6,21.8,17.6,15.5,7.2,76272,12.7,28.8,23.2,4.8,1126,02,122
"Ketchikan Gateway Borough, Alaska",13910,40.6,21.0,16.7,53.0,19.3,14.1,4.1,82763,9.4,15.8,34.3,11.8,1275,02,130
"Kodiak Island Borough, Alaska",13065,35.1,24.0,12.3,12.6,19.2,9.2,5.7,91138,12.9,23.9,43.4,8.9,1646,02,150
"Kusilvak Census Area, Alaska",8372,23.7,41.2,6.1,82.5,4.0,13.7,20.9,42663,14.1,20.2,29.1,85.9,819,02,158
"Lake and Peninsula Borough, Alaska",999,33.6,25.5,9.2,33.3,8.6,13.7,14.0,61607,31.5,76.4,32.8,42.0,933,02,164
"Matanuska-Susitna Borough, Alaska",108661,36.3,26.1,12.9,23.5,15.3,13.9,7.0,86435,13.3,22.2,23.5,3.7,1242,02,170
"Nome Census Area, Alaska",10018,29.1,34.0,7.5,72.8,7.8,9.9,16.5,70121,14.7,32.3,37.4,57.2,1349,02,180
"North Slope Borough, Alaska",10924,36.3,22.8,7.6,73.9,9.5,11.4,6.8,83472,15.0,17.4,53.3,36.5,1231,02,185
"Northwest Arctic Borough, Alaska",7682,29.2,36.2,7.9,80.2,10.0,10.3,15.5,77647,19.2,34.8,39.0,65.3,1386,02,188
"Petersburg Borough, Alaska",3374,50.1,18.0,25.0,23.8,17.7,19.0,4.4,77826,9.6,30.0,26.6,12.6,1074,02,195
"Prince of Wales-Hyder Census Area, Alaska",5799,43.1,21.5,19.3,50.0,13.6,21.3,7.5,61779,18.9,28.2,27.4,8.3,883,02,198
"Sitka City and Borough, Alaska",8462,39.5,20.2,16.2,11.3,22.9,14.2,5.0,95261,12.3,16.4,35.5,10.5,1309,02,220
"Skagway Municipality, Alaska",1303,38.6,15.9,13.8,56.7,22.1,14.3,11.0,79583,9.7,35.0,34.4,6.3,1044,02,230
